YearOfObservation,Insured_Period,Residential,Building Dimension,Building_Type,NumberOfWindows,Claim,Building_Painted,Building_Fenced,Garden,Settlement,Painted_Fenced_Garden,Painted_Fenced,Garden_Settlement,Fenced_Garden_Settlement,Painted_Fenced_Settlement,Painted_Fenced_Garden_Settlement
2013,1,0,290,1,4,0,0,1,1,1,1,1,2,4,1,1
2015,1,0,490,1,4,0,1,0,0,0,2,2,0,0,2,2
2014,1,0,595,1,3,0,0,1,1,1,1,1,2,4,1,1
2013,1,0,2840,1,3,0,1,1,1,1,5,3,2,4,4,4
2014,1,0,680,1,3,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,535,1,3,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,2830,1,3,0,0,1,1,1,1,1,2,4,1,1
2015,1,0,4952,1,3,0,0,1,1,1,1,1,2,4,1,1
2014,1,0,2735,1,3,1,1,0,0,0,2,2,0,0,2,2
2015,1,0,520,1,2,0,1,0,0,0,2,2,0,0,2,2
2013,0.24109589,0,550,1,3,0,1,0,0,0,2,2,0,0,2,2
2013,1,0,910,1,4,0,1,1,1,1,5,3,2,4,4,4
2013,1,0,842,1,4,0,1,0,0,0,2,2,0,0,2,2
2014,0.843835616,0,300,1,2,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,560,1,4,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,3326,1,4,1,1,0,0,0,2,2,0,0,2,2
2014,1,0,3990,1,5,1,0,1,1,1,1,1,2,4,1,1
2015,1,0,3990,1,5,0,0,1,1,1,1,1,2,4,1,1
2015,1,0,2444,1,5,0,1,0,0,0,2,2,0,0,2,2
2016,1,0,2444,1,5,0,1,0,0,0,2,2,0,0,2,2
2016,0.956284153,0,1626,1,2,0,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,2400,1,3,0,1,0,0,0,2,2,0,0,2,2
2012,1,0,250,1,4,0,1,0,0,0,2,2,0,0,2,2
2012,1,1,2300,1,4,1,1,0,0,0,2,2,0,0,2,2
2016,0.99726776,0,600,1,10,0,0,1,1,1,1,1,2,4,1,1
2012,1,0,5439,1,10,0,1,0,0,0,2,2,0,0,2,2
